metric,trial,challenge_cluster_means,threat_cluster_means
SCR,1,0.156323139,0.028755765
SCR,2,-0.041834999,-0.222445324
SCR,3,0.226637317,0.03812894
SCR,4,0.060440169,-0.079973065
SCL,1,0.195763612,0.124859057
SCL,2,0.003878575,-0.134981116
SCL,3,0.150821807,-0.050863424
SCL,4,-0.011886352,-0.137603325
RR,1,-0.002237502,-0.154487914
RR,2,0.052939658,0.088699325
RR,3,-0.032059664,0.059389643
RR,4,0.049704816,-0.033689378
IBI,1,-0.599623491,0.16186516
IBI,2,-0.43691154,0.317517865
IBI,3,-0.671366883,0.346863505
IBI,4,-0.331881454,0.37016487
RSA,1,-0.330679695,0.044456237
RSA,2,-0.119485292,0.140167825
RSA,3,-0.416131167,0.131896453
RSA,4,0.04184843,0.167049784
MAP,1,0.355122862,-0.157637252
MAP,2,0.336411885,-0.106713091
MAP,3,0.026515383,-0.321270519
MAP,4,0.349894795,-0.04076991
LVET,1,-0.702963755,0.44002905
LVET,2,-0.730224619,0.454860776
LVET,3,-0.879904065,0.337321741
LVET,4,-0.538953948,0.440623332
CO,1,0.405204173,-0.304040648
CO,2,0.642554652,-0.240063963
CO,3,0.384778142,-0.294216513
CO,4,0.304708101,-0.180639925
PEP,1,0.681296911,-0.432254417
PEP,2,0.792524668,-0.428609344
PEP,3,0.86418223,-0.408970587
PEP,4,0.584907977,-0.444565835
TPR,1,-0.368207242,0.292309277
TPR,2,-0.351618718,0.378380652
TPR,3,-0.609378867,0.126902547
TPR,4,-0.457530066,0.250396259