VarTrial,threat_cluster_means,challenge_cluster_means,nonresponder_cluster_means
SCR1,0.240783019,-0.225313162,0.275363009
SCR2,0.132807069,-0.54924101,0.0810063
SCR3,-0.047152846,-0.61402658,0.290313525
SCR4,-0.037172639,-0.743597719,-0.128300925
SCR5,-0.094014408,-0.441265061,-0.415350833
SCL1,-0.166535992,3.789910743,0.069354808
SCL2,-0.197274997,3.268275933,-0.094796006
SCL3,-0.267080916,2.938872621,-0.174998552
SCL4,-0.27251297,2.808702617,-0.204303328
SCL5,-0.301937651,2.434105807,-0.241540224
RR1,0.125834425,0.612259894,0.315047363
RR2,-0.185006754,-0.175971925,0.407476274
RR3,-0.012815113,0.517691425,0.05550966
RR4,-0.124838036,0.337503421,0.162841058
RR5,-0.058697987,0.403532045,0.004941669
IBI1,0.052351446,-0.624934405,-1.949909371
IBI2,0.25839417,-0.194552728,-1.281656648
IBI3,0.247114362,-0.42375284,-1.246932296
IBI4,0.213946083,-0.430364497,-1.233840052
IBI5,0.231623166,-0.500428863,-1.143109527
RSA1,-0.050821181,-0.502470405,-1.123421598
RSA2,0.158444173,-0.096333868,-0.454248388
RSA3,0.152991816,-0.616060043,-0.367448759
RSA4,0.06582831,-0.119909076,-0.455732143
RSA5,0.185557684,-0.544262819,-0.543459118
MAP1,-0.014326655,-0.165433902,0.599650169
MAP2,-0.014326655,-0.165433902,0.599650169
MAP3,-0.066725078,-0.026657331,0.699039226
MAP4,-0.066725078,-0.026657331,0.699039226
MAP5,-0.157049484,-0.170219301,0.435658226
LVET1,-0.147707959,-0.219612234,0.013077577
LVET2,-0.088215605,0.056041133,0.353857838
LVET3,0.086313779,-0.199922708,0.349314101
LVET4,0.011045877,-0.173670006,0.444732574
LVET5,-0.021992423,-0.029280147,0.550412319
CO1,-0.128789795,0.092561386,1.301312107
CO2,-0.169289787,0.056286555,1.155868224
CO3,-0.137007103,0.026620499,1.17925312
CO4,-0.128218322,0.026620499,1.17925312
CO5,-0.172107659,0.052688445,1.017774045
PEP1,0.16249909,-0.041371529,-1.48606988
PEP2,0.206430104,-0.234160814,-1.66664627
PEP3,0.195645887,-0.109414806,-1.541027912
PEP4,0.240068426,-0.234160814,-1.63524168
PEP5,0.255773238,-0.302204092,-1.712117498
TPR1,0.101231039,-0.110891876,-0.839824418
TPR2,0.156600917,0.106195784,-0.768950312
TPR3,0.042342164,0.192289901,-0.708655854
TPR4,0.040586128,0.240959337,-0.713403621
TPR5,0.064148501,0.142708528,-0.695592573